date,time,humid
2023-10-01,00:00,-
2023-10-01,01:00,-
2023-10-01,02:00,-
2023-10-01,03:00,-
2023-10-01,04:00,-
2023-10-01,05:00,-
2023-10-01,06:00,-
2023-10-01,07:00,-
2023-10-01,08:00,-
2023-10-01,09:00,-
2023-10-01,10:00,-
2023-10-01,11:00,-
2023-10-01,12:00,-
2023-10-01,13:00,-
2023-10-01,14:00,-
2023-10-01,15:00,-
2023-10-01,16:00,-
2023-10-01,17:00,-
2023-10-01,18:00,-
2023-10-01,19:00,-
2023-10-01,20:00,-
2023-10-01,21:00,-
2023-10-01,22:00,-
2023-10-01,23:00,-
2023-10-02,00:00,-
2023-10-02,01:00,-
2023-10-02,02:00,-
2023-10-02,03:00,-
2023-10-02,04:00,-
2023-10-02,05:00,-
2023-10-02,06:00,-
2023-10-02,07:00,-
2023-10-02,08:00,-
2023-10-02,09:00,-
2023-10-02,10:00,-
2023-10-02,11:00,-
2023-10-02,12:00,-
2023-10-02,13:00,-
2023-10-02,14:00,-
2023-10-02,15:00,-
2023-10-02,16:00,-
2023-10-02,17:00,-
2023-10-02,18:00,-
2023-10-02,19:00,-
2023-10-02,20:00,-
2023-10-02,21:00,-
2023-10-02,22:00,-
2023-10-02,23:00,-
2023-10-03,00:00,-
2023-10-03,01:00,-
2023-10-03,02:00,-
2023-10-03,03:00,-
2023-10-03,04:00,-
2023-10-03,05:00,-
2023-10-03,06:00,-
2023-10-03,07:00,-
2023-10-03,08:00,-
2023-10-03,09:00,-
2023-10-03,10:00,-
2023-10-03,11:00,-
2023-10-03,12:00,-
2023-10-03,13:00,-
2023-10-03,14:00,-
2023-10-03,15:00,-
2023-10-03,16:00,-
2023-10-03,17:00,-
2023-10-03,18:00,-
2023-10-03,19:00,-
2023-10-03,20:00,-
2023-10-03,21:00,-
2023-10-03,22:00,-
2023-10-03,23:00,-
2023-10-04,00:00,-
2023-10-04,01:00,-
2023-10-04,02:00,-
2023-10-04,03:00,-
2023-10-04,04:00,-
2023-10-04,05:00,-
2023-10-04,06:00,-
2023-10-04,07:00,-
2023-10-04,08:00,-
2023-10-04,09:00,-
2023-10-04,10:00,-
2023-10-04,11:00,-
2023-10-04,12:00,-
2023-10-04,13:00,-
2023-10-04,14:00,-
2023-10-04,15:00,-
2023-10-04,16:00,-
2023-10-04,17:00,-
2023-10-04,18:00,-
2023-10-04,19:00,-
2023-10-04,20:00,-
2023-10-04,21:00,-
2023-10-04,22:00,-
2023-10-04,23:00,-
2023-10-05,00:00,-
2023-10-05,01:00,-
2023-10-05,02:00,-
2023-10-05,03:00,-
2023-10-05,04:00,-
2023-10-05,05:00,-
2023-10-05,06:00,-
2023-10-05,07:00,-
2023-10-05,08:00,-
2023-10-05,09:00,-
2023-10-05,10:00,-
2023-10-05,11:00,-
2023-10-05,12:00,-
2023-10-05,13:00,81.1
2023-10-05,14:00,75.81
2023-10-05,15:00,66.04
2023-10-05,16:00,66.96
2023-10-05,17:00,71.06
2023-10-05,18:00,75.39
2023-10-05,19:00,87.88
2023-10-05,20:00,90.05
2023-10-05,21:00,85.95
2023-10-05,22:00,86.84
2023-10-05,23:00,85.96
2023-10-06,00:00,86.41
2023-10-06,01:00,88.95
2023-10-06,02:00,90.6
2023-10-06,03:00,89.51
2023-10-06,04:00,89.96
2023-10-06,05:00,89.69
2023-10-06,06:00,89.82
2023-10-06,07:00,90.31
2023-10-06,08:00,92.58
2023-10-06,09:00,92.9
2023-10-06,10:00,87.52
2023-10-06,11:00,76.24
2023-10-06,12:00,72.88
2023-10-06,13:00,80.05
2023-10-06,14:00,88.13
2023-10-06,15:00,88.07
2023-10-06,16:00,80.09
2023-10-06,17:00,79.05
2023-10-06,18:00,81.15
2023-10-06,19:00,80.52
2023-10-06,20:00,83.53
2023-10-06,21:00,84.91
2023-10-06,22:00,86.57
2023-10-06,23:00,87.52
2023-10-07,00:00,88.27
2023-10-07,01:00,86.28
2023-10-07,02:00,84.82
2023-10-07,03:00,86.5
2023-10-07,04:00,86.96
2023-10-07,05:00,92.01
2023-10-07,06:00,92.94
2023-10-07,07:00,91.6
2023-10-07,08:00,84.2
2023-10-07,09:00,71.38
2023-10-07,10:00,64.16
2023-10-07,11:00,56.97
2023-10-07,12:00,54.02
2023-10-07,13:00,57.51
2023-10-07,14:00,71.88
2023-10-07,15:00,69.56
2023-10-07,16:00,69.74
2023-10-07,17:00,72.98
2023-10-07,18:00,71.55
2023-10-07,19:00,77.39
2023-10-07,20:00,79.31
2023-10-07,21:00,91.87
2023-10-07,22:00,93.44
2023-10-07,23:00,94.06
2023-10-08,00:00,92.45
2023-10-08,01:00,93.93
2023-10-08,02:00,93.7
2023-10-08,03:00,93.98
2023-10-08,04:00,94.5
2023-10-08,05:00,94.92
2023-10-08,06:00,94.85
2023-10-08,07:00,94.24
2023-10-08,08:00,91.14
2023-10-08,09:00,86.74
2023-10-08,10:00,78.7
2023-10-08,11:00,66.65
2023-10-08,12:00,63.9
2023-10-08,13:00,58.17
2023-10-08,14:00,62.06
2023-10-08,15:00,64.36
2023-10-08,16:00,65.84
2023-10-08,17:00,65.01
2023-10-08,18:00,68.8
2023-10-08,19:00,66.87
2023-10-08,20:00,80.11
2023-10-08,21:00,86.51
2023-10-08,22:00,88.09
2023-10-08,23:00,-
2023-10-09,00:00,88.63
2023-10-09,01:00,89.67
2023-10-09,02:00,91.63
2023-10-09,03:00,89.75
2023-10-09,04:00,91.15
2023-10-09,05:00,92.86
2023-10-09,06:00,93.69
2023-10-09,07:00,93.56
2023-10-09,08:00,90.3
2023-10-09,09:00,80.87
2023-10-09,10:00,64.88
2023-10-09,11:00,62.56
2023-10-09,12:00,59.89
2023-10-09,13:00,56.13
2023-10-09,14:00,53.48
2023-10-09,15:00,56.13
2023-10-09,16:00,57.97
2023-10-09,17:00,55.05
2023-10-09,18:00,63.84
2023-10-09,19:00,66.78
2023-10-09,20:00,71.05
2023-10-09,21:00,76.36
2023-10-09,22:00,92.55
2023-10-09,23:00,96.64
2023-10-10,00:00,97.15
2023-10-10,01:00,97.34
2023-10-10,02:00,93.01
2023-10-10,03:00,93.07
2023-10-10,04:00,92.59
2023-10-10,05:00,92.53
2023-10-10,06:00,93.84
2023-10-10,07:00,94.8
2023-10-10,08:00,96.34
2023-10-10,09:00,93.76
2023-10-10,10:00,87.14
2023-10-10,11:00,82.23
2023-10-10,12:00,77.63
2023-10-10,13:00,71.8
2023-10-10,14:00,72.02
2023-10-10,15:00,71.49
2023-10-10,16:00,72.64
2023-10-10,17:00,73.75
2023-10-10,18:00,76.08
2023-10-10,19:00,83.44
2023-10-10,20:00,88.42
2023-10-10,21:00,93.1
2023-10-10,22:00,92.23
2023-10-10,23:00,92.83
2023-10-11,00:00,94.37
2023-10-11,01:00,94.07
2023-10-11,02:00,93.98
2023-10-11,03:00,94.27
2023-10-11,04:00,93.42
2023-10-11,05:00,94.78
2023-10-11,06:00,94.36
2023-10-11,07:00,95.27
2023-10-11,08:00,96.73
2023-10-11,09:00,96.64
2023-10-11,10:00,92.52
2023-10-11,11:00,75.64
2023-10-11,12:00,68.81
2023-10-11,13:00,66.39
2023-10-11,14:00,70.18
2023-10-11,15:00,69.44
2023-10-11,16:00,70.13
2023-10-11,17:00,68.72
2023-10-11,18:00,75.69
2023-10-11,19:00,77.21
2023-10-11,20:00,82.55
2023-10-11,21:00,82.77
2023-10-11,22:00,83.77
2023-10-11,23:00,84.59
2023-10-12,00:00,85.99
2023-10-12,01:00,86.38
2023-10-12,02:00,86.43
2023-10-12,03:00,88.78
2023-10-12,04:00,88.99
2023-10-12,05:00,90.5
2023-10-12,06:00,90.75
2023-10-12,07:00,93.05
2023-10-12,08:00,85.99
2023-10-12,09:00,84.94
